Apr. 16, 2022   13:14:53
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4
2nd E (V) = 0.5
Sens 2 (A/V) = 1e-4


Current 2:


Potential/V, i1/A, i2/A
-0.379, -7.795e-4, 2.379e-5
-0.380, -7.787e-4, 2.386e-5
-0.381, -7.723e-4, 2.399e-5
-0.382, -7.800e-4, 2.406e-5
-0.383, -7.813e-4, 2.414e-5
-0.384, -7.703e-4, 2.426e-5
-0.385, -7.719e-4, 2.437e-5
-0.386, -7.749e-4, 2.444e-5
-0.387, -7.793e-4, 2.454e-5
-0.388, -7.660e-4, 2.462e-5
-0.389, -7.646e-4, 2.472e-5
-0.390, -7.663e-4, 2.485e-5
-0.391, -7.677e-4, 2.488e-5
-0.392, -7.647e-4, 2.499e-5
-0.393, -7.724e-4, 2.510e-5
-0.394, -7.652e-4, 2.517e-5
-0.395, -7.622e-4, 2.520e-5
-0.396, -7.693e-4, 2.534e-5
-0.397, -7.698e-4, 2.538e-5
-0.398, -7.693e-4, 2.547e-5
-0.399, -7.701e-4, 2.559e-5
-0.400, -7.764e-4, 2.571e-5
-0.401, -7.790e-4, 2.576e-5
-0.402, -7.807e-4, 2.588e-5
-0.403, -7.715e-4, 2.591e-5
-0.404, -7.731e-4, 2.605e-5
-0.405, -7.682e-4, 2.614e-5
-0.406, -7.753e-4, 2.625e-5
-0.407, -7.680e-4, 2.633e-5
-0.408, -7.696e-4, 2.642e-5
-0.409, -7.748e-4, 2.652e-5
-0.410, -7.724e-4, 2.659e-5
-0.411, -7.725e-4, 2.668e-5
-0.412, -7.779e-4, 2.677e-5
-0.413, -7.732e-4, 2.687e-5
-0.414, -7.712e-4, 2.692e-5
-0.415, -7.738e-4, 2.700e-5
-0.416, -7.754e-4, 2.710e-5
-0.417, -7.693e-4, 2.723e-5
-0.418, -7.873e-4, 2.733e-5
-0.419, -7.857e-4, 2.739e-5
-0.420, -7.743e-4, 2.752e-5
-0.421, -7.766e-4, 2.763e-5
